rank,pathway,rewiring_score,permutation_verdict,cohort,condition
21,TEICHOICACID-PWY: teichoic acid (poly-glycerol) biosynthesis,11.476523477245454,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
22,PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I,11.407613116728792,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
23,PWY-5173: superpathway of acetyl-CoA biosynthesis,10.973353125270956,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
24,PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation,10.95367904525416,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
25,"P125-PWY: superpathway of (R,R)-butanediol biosynthesis",10.702670919648355,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
26,PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV,10.44228687252662,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
27,PWY-5705: allantoin degradation to glyoxylate III,10.384456013512963,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
28,PWY-6285: superpathway of fatty acids biosynthesis (E. coli),10.368714750687843,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
29,PWY-561: superpathway of glyoxylate cycle and fatty acid degradation,10.312200054180687,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
30,PWY3O-355: stearate biosynthesis III (fungi),10.199013755580385,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
31,PWY-7204: pyridoxal 5'-phosphate salvage II (plants),10.105951362494771,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
32,PWY-622: starch biosynthesis,10.059152120888069,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
33,PWY-7094: fatty acid salvage,9.74854965101874,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
34,ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,9.701822289193249,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
35,PWY-6270: isoprene biosynthesis I,9.486239830025218,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
36,PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli),9.349493244389938,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
37,ENTBACSYN-PWY: enterobactin biosynthesis,9.337248821962898,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
38,NONMEVIPP-PWY: methylerythritol phosphate pathway I,9.13636937854633,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
39,ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,9.099472883104813,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
40,PWY-5857: ubiquinol-10 biosynthesis (prokaryotic),9.098256155742543,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
41,PWY-5856: ubiquinol-9 biosynthesis (prokaryotic),9.098256155742542,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
42,PWY-5855: ubiquinol-7 biosynthesis (prokaryotic),9.098256155742542,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
43,PWY-6708: ubiquinol-8 biosynthesis (prokaryotic),9.098256155742542,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
44,LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis,9.091146671770222,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
45,PWY0-41: allantoin degradation IV (anaerobic),8.977924663458445,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
46,PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens),8.944849461495558,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
47,PWY-6629: superpathway of L-tryptophan biosynthesis,8.941958703800909,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
48,URDEGR-PWY: superpathway of allantoin degradation in plants,8.934527514734121,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
49,PWY-5692: allantoin degradation to glyoxylate II,8.934527514734121,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
50,"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",8.760157502729466,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
51,PWY-5723: Rubisco shunt,8.627632731913746,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
52,TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA,8.466372207385932,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
53,KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis,8.397233493723764,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
54,PWY-6606: guanosine nucleotides degradation II,8.347333948799742,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
55,PWY-5675: nitrate reduction V (assimilatory),8.334830041729509,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
56,PWY-7560: methylerythritol phosphate pathway II,8.198424472932166,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
57,PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast),8.148396001029818,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
58,PWY-7003: glycerol degradation to butanol,8.029723202228878,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
59,PWY-7196: superpathway of pyrimidine ribonucleosides salvage,7.842557670809227,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
60,PWY-7312: dTDP-D-&beta;-fucofuranose biosynthesis,7.743221481040209,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
61,CENTFERM-PWY: pyruvate fermentation to butanoate,7.624106044096736,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
62,PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation,7.620070295327209,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
63,PWY-5941: glycogen degradation II (eukaryotic),7.55997989598563,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
64,PWY-6630: superpathway of L-tyrosine biosynthesis,7.506307664663042,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
65,PWY-7254: TCA cycle VII (acetate-producers),7.480778224238636,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
66,UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic),7.421318819411013,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
67,PWY-6143: CMP-pseudaminate biosynthesis,7.34765011087801,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
68,THREOCAT-PWY: superpathway of L-threonine metabolism,7.346277971189281,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
69,PWY-5920: superpathway of heme biosynthesis from glycine,7.27204032297187,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
70,PWY0-1338: polymyxin resistance,7.260093513614962,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
71,GLUCARDEG-PWY: D-glucarate degradation I,7.127002729968148,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
72,PWY-6113: superpathway of mycolate biosynthesis,7.040169290670101,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
73,P161-PWY: acetylene degradation,6.8060601684223805,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
74,METH-ACETATE-PWY: methanogenesis from acetate,6.734673052144374,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
75,GLYOXYLATE-BYPASS: glyoxylate cycle,6.696888323475591,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
76,PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),6.614704447774942,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
77,BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,6.529567268173541,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
78,P122-PWY: heterolactic fermentation,6.520175601410333,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
79,PWY-7046: 4-coumarate degradation (anaerobic),6.499610524072338,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
80,PWY-5918: superpathay of heme biosynthesis from glutamate,6.447915578931061,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
81,PWY-6353: purine nucleotides degradation II (aerobic),6.435446755558091,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
82,P23-PWY: reductive TCA cycle I,6.381705378512934,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
83,PWY-5840: superpathway of menaquinol-7 biosynthesis,6.361222857795658,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
84,PWY-4702: phytate degradation I,6.353935837585683,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
85,PWY0-1533: methylphosphonate degradation I,6.33527402116587,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
86,PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,6.331195851999745,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
87,PWY-6823: molybdenum cofactor biosynthesis,6.326692205501624,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
88,PWY-5971: palmitate biosynthesis II (bacteria and plants),6.247401025088816,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
89,PWY-5656: mannosylglycerate biosynthesis I,6.2258475643540026,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
90,METSYN-PWY: L-homoserine and L-methionine biosynthesis,6.197294476770842,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
91,PWY-4041: &gamma;-glutamyl cycle,6.15459800246257,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
92,PWY-7392: taxadiene biosynthesis (engineered),6.05328021347524,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
93,MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis,5.965459126642683,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
94,PWY-6803: phosphatidylcholine acyl editing,5.958629524919744,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
95,PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration),5.934149375821352,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
96,"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",5.916777691224255,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
97,"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",5.916777691224255,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
98,HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria),5.817479558674664,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
99,PWY-6595: superpathway of guanosine nucleotides degradation (plants),5.796272236275881,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
100,PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis,5.794639234803473,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
101,PWY-5863: superpathway of phylloquinol biosynthesis,5.4750876855666215,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
102,HOMOSER-METSYN-PWY: L-methionine biosynthesis I,5.452257691363801,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
103,PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii),5.4467226291691055,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
104,PWY-7446: sulfoglycolysis,5.31149804992591,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
105,PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis,5.298215645540406,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
106,P221-PWY: octane oxidation,5.278979364411732,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
107,PWY-5838: superpathway of menaquinol-8 biosynthesis I,5.223000764371729,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
108,PWY-6519: 8-amino-7-oxononanoate biosynthesis I,5.204689106321788,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
109,PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),4.960983800922807,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
110,PWY-5989: stearate biosynthesis II (bacteria and plants),4.936793552390321,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
111,P441-PWY: superpathway of N-acetylneuraminate degradation,4.816852107103521,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
112,FASYN-ELONG-PWY: fatty acid elongation -- saturated,4.576981553459484,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
113,"PWY-7237: myo-, chiro- and scillo-inositol degradation",4.557335663319161,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
114,PWYG-321: mycolate biosynthesis,4.459246344106758,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
115,ECASYN-PWY: enterobacterial common antigen biosynthesis,4.435922837573489,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
116,PWY-7316: dTDP-N-acetylviosamine biosynthesis,4.383130430716974,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
117,PWY-5897: superpathway of menaquinol-11 biosynthesis,4.276309847860017,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
118,PWY-5898: superpathway of menaquinol-12 biosynthesis,4.276309847860017,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
119,PWY-5899: superpathway of menaquinol-13 biosynthesis,4.276309847860016,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
120,PWY-6470: peptidoglycan biosynthesis V (&beta;-lactam resistance),4.265508003573943,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
121,3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation,4.145796303297692,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
122,"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",4.1158023256029,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
123,PWY0-862: (5Z)-dodec-5-enoate biosynthesis,4.105670992569359,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
124,PWY-6471: peptidoglycan biosynthesis IV (Enterococcus faecium),4.066569890292904,"null-consistent (T2D arm: p=0.09 n_true, p=0.28 n_pathways [primary], p=0.31 top score; see pathway_permutation_crosscohort.csv)",t2d,T2D
